N,Permanent,Error,Epochs
10,63100.0,0.18103011093502377,7
14,1063787774.0,0.06394999798145828,7
10,60972.0,-0.05963393032867546,7
13,44279340.0,0.31220183046992117,7
11,805915.0,0.0361216753627864,6
10,46441.0,0.2063478391938158,7
12,6666392.0,0.2914755087909622,7
12,8251544.0,0.10786926664876295,7
10,58505.0,0.4951713528758226,7
10,39874.0,0.09171389878116065,7
13,42098922.0,-0.01833821303072796,7
11,652232.0,-0.0322538605894835,7
14,429837648.0,-0.009823611355699582,6
11,207236.0,0.24745700553957806,7
13,45918813.0,0.2170574836069913,7
15,7197953190.0,0.14315030145396096,7
12,8435597.0,0.3932482786932567,7
10,69381.0,0.11975901183321082,7
12,6825260.0,0.11144410615859322,7
12,8122367.0,0.18180020676238837,7
10,95610.0,0.2213680577345466,6
10,72658.0,0.9680695862809325,6
13,99415648.0,0.11417814225784657,7
14,210179568.0,0.18268378970119492,8
14,307970519.0,0.1614246946799476,7
13,51699954.0,0.48344524639228886,7
12,5195670.0,0.24296731701589977,7
12,4361839.0,0.07424345557000155,7
11,1785648.0,0.08547541284732489,6
10,20180.0,0.3820614469772052,7
13,115983384.0,0.3002037860871519,6
10,43401.0,0.29010852284509575,7
14,322531114.0,0.40237562940981875,7
13,76009189.0,0.31889132510017965,7
14,453087234.0,0.037312278368010696,7
11,1260697.0,0.35705883332791305,6
14,601114034.0,0.20939913540597857,7
12,4606882.0,0.14106873151949625,7
10,48731.0,0.17461164351234326,7
12,5985514.0,0.23998740960258383,7
13,89316538.0,0.13161344207049314,7
14,909760212.0,0.16182697490841685,7
11,1786020.0,0.10772163805556488,6
13,20299792.0,0.20660866869965958,6
14,670470092.0,0.32743998668921986,7
14,799394747.0,0.0777145624650946,7
12,6331245.0,0.09919849887344433,7
13,71382693.0,0.174763384172127,7
10,87506.0,0.596347679016296,7
12,42675720.0,0.023895062578909037,6
13,64656267.0,0.3054273764366879,7
11,644396.0,0.1334008901358792,6
10,133372.0,0.12298683381819273,6
12,3518260.0,0.12828074104813175,7
10,54745.0,0.034706365878162386,7
15,2983770364.0,0.27939361421983744,8
11,318586.0,0.11026849892964537,7
14,349918971.0,0.15418258645942348,6
12,1673330.0,1.0779601154583973,7
15,3240801386.0,0.2315624963139904,8
13,81164960.0,0.021258520918386457,7
10,218716.0,0.06183818284899138,6
10,55204.0,0.35604304035939427,7
14,254770680.0,0.3261293214745119,7
11,476141.0,0.5710703342077241,7
12,6769402.0,-0.024555935664627392,7
14,313732081.0,0.21257264410903517,6
13,38808632.0,0.17352611140737967,7
13,85659986.0,0.27076971504524877,7
10,178278.0,0.10891416776046399,6
12,1529967.0,0.36320718028558785,6
10,105824.0,0.09653764741457514,6
11,808936.0,0.11761993532244826,6
15,7283301167.0,0.14069056070930974,7
15,3467495470.0,0.22209725655387808,7
11,541210.0,0.1937806027235269,7
14,222346129.0,0.9191309689947424,6
15,6415720456.0,0.22589801752422237,7
11,905897.0,0.019749485868702513,7
12,4396096.0,0.5035124346693066,7
15,6973474139.0,0.20840948959314698,7
12,4302783.0,-0.012428235400204938,7
