N,M,error,timePerm,timeBark
15.0,3.0,0.011086231911002907,0.11085033416748047,0.3625173568725586
15.0,4.0,0.005555313421929168,0.11442279815673828,4.480410814285278
14.0,3.0,0.005991099724248868,0.06060290336608887,0.265413761138916
13.0,3.0,0.0054731324632414004,0.031241893768310547,0.1584622859954834
14.0,4.0,0.004151612177673676,0.06396889686584473,2.407021999359131
12.0,4.0,0.007021185801627975,0.014914512634277344,0.6216409206390381
14.0,3.0,0.00997609384204931,0.06096053123474121,0.25069332122802734
13.0,3.0,0.0027978373640534723,0.029860496520996094,0.15603899955749512
15.0,3.0,0.010053554606528054,0.11649250984191895,0.3933238983154297
12.0,2.0,0.008577208530219546,0.01571202278137207,0.0068547725677490234
12.0,2.0,0.001000027644399328,0.01495814323425293,0.006424427032470703
13.0,4.0,0.005608813157388772,0.03008103370666504,1.241121530532837
11.0,2.0,0.011091604091748286,0.0072515010833740234,0.0042912960052490234
11.0,4.0,0.0033103029986487945,0.007628440856933594,0.2911338806152344
15.0,3.0,0.003340257126229606,0.11335182189941406,0.3663828372955322
13.0,4.0,0.0018897820278676424,0.029172897338867188,1.2548348903656006
15.0,2.0,0.004132809686984403,0.11899137496948242,0.015382528305053711
12.0,3.0,0.0029476495016315988,0.015567302703857422,0.09299945831298828
11.0,4.0,0.0081514031727119,0.0075321197509765625,0.3051941394805908
13.0,4.0,0.005487485059775526,0.030423641204833984,1.3056063652038574
12.0,3.0,0.0025141450220451805,0.017354726791381836,0.0867152214050293
14.0,3.0,0.0032843905397000528,0.05467939376831055,0.23143792152404785
13.0,2.0,0.0008429892095294169,0.029313087463378906,0.008330821990966797
12.0,2.0,0.003155174964361503,0.013529062271118164,0.0060236454010009766
11.0,3.0,0.0020671344634684654,0.006695270538330078,0.050295114517211914
10.0,2.0,0.006497101248752715,0.0034987926483154297,0.0026941299438476562
10.0,2.0,0.0061496963090259295,0.0034983158111572266,0.002655506134033203
14.0,4.0,0.006821420257991245,0.054775238037109375,2.4508519172668457
10.0,4.0,0.0056049155830616496,0.004296302795410156,0.13249802589416504
11.0,2.0,0.006803776969181006,0.007340192794799805,0.0045964717864990234
12.0,3.0,0.00016332765343160942,0.015320539474487305,0.09408998489379883
13.0,2.0,0.0034636905066934122,0.030469179153442383,0.0087738037109375
10.0,3.0,0.005445282849525135,0.0036737918853759766,0.029272794723510742
10.0,3.0,0.004188849246664113,0.003818511962890625,0.029142379760742188
10.0,3.0,0.005841812337499257,0.0037963390350341797,0.027207612991333008
11.0,2.0,0.0009411579467509173,0.00673222541809082,0.004090547561645508
14.0,4.0,0.0036088915855840772,0.054541826248168945,2.358419179916382
12.0,3.0,0.0015901221872583317,0.015042543411254883,0.09318733215332031
15.0,4.0,0.0058884957015568765,0.11045503616333008,4.39118766784668
11.0,4.0,0.003375155907308852,0.007623434066772461,0.2993769645690918
10.0,4.0,0.012567616531498365,0.004034757614135742,0.12310481071472168
13.0,2.0,0.009118390294897978,0.028167009353637695,0.007939338684082031
13.0,2.0,0.0017025623049536983,0.028258323669433594,0.008330106735229492
11.0,2.0,0.00520553874275675,0.006906986236572266,0.00409388542175293
11.0,2.0,0.0012642456075210088,0.007246255874633789,0.003966569900512695
12.0,3.0,0.00562452088034743,0.014173269271850586,0.08868026733398438
10.0,3.0,0.0011686097771061502,0.0035567283630371094,0.028995513916015625
14.0,4.0,0.001694728898699292,0.056932687759399414,2.454213857650757
14.0,3.0,0.005764657542503911,0.05627131462097168,0.24547600746154785
10.0,4.0,0.001153542065435831,0.004119157791137695,0.13996124267578125
13.0,4.0,0.0006366318611755005,0.029815673828125,1.2960989475250244
10.0,3.0,0.0031400729794260475,0.004082918167114258,0.030817031860351562
