N,Permanent,Error,
14,944880372.0,0.05677377749571879,
10,11834.0,-0.5254351867500423,
14,382048555.0,-0.1360730575201364,
15,2420068689.0,0.8641743602179215,
14,664932483.0,-0.028826028942851332,
13,22106287.0,-0.05156392839738306,
15,5796914930.0,-0.6400985515238535,
12,16290929.0,0.36124833642083887,
10,52778.0,0.30296714540149305,
11,1275110.0,0.17589854992902573,
14,425128670.0,-0.6129503098438409,
14,388318608.0,-0.4585339744179003,
15,5966250805.0,0.5566660376088561,
11,1407699.0,0.5183170076368127,
10,13456.0,1.774474831549742,
11,1154274.0,0.35163747948927226,
15,17220054528.0,0.4782481413522272,
10,53839.0,0.2814502498189045,
13,102619070.0,1.189978919122927,
13,47484239.0,0.5246490524992932,
15,52662991864.0,0.09742569258597944,
14,670803634.0,-0.2016286542657579,
13,153649571.0,2.6620218672064433,
14,176563574.0,-0.5382059948559945,
14,471579315.0,-0.24868358570816448,
10,36345.0,-0.3836841381207869,
10,164654.0,-0.03341552589065556,
12,8925166.0,0.5435007035163267,
11,689634.0,0.6864597743150714,
15,6833589933.0,1.5190449191092836,
10,73978.0,0.9484711671037339,
11,248974.0,0.413802244411063,
14,246906551.0,-0.08290355568572987,
12,3850352.0,-0.8547914580277336,
11,535606.0,-0.49813855707366983,
15,2844182503.0,0.44683373716683045,
13,36673064.0,-0.2816962335080594,
10,70366.0,1.0962396612000118,
10,147672.0,-0.5319356411506582,
11,248076.0,2.084474112771892,
10,211126.0,-0.236095980599263,
15,9093550078.0,-0.4144114804092906,
11,431166.0,-0.2786073113371648,
13,38046413.0,2.1029721514088595,
14,358604576.0,0.09287618237197286,
13,61988930.0,-0.4071522124998769,
14,460424794.0,-0.24770744644129655,
15,3090432802.0,-0.6406934332041173,
11,330430.0,-0.3521169385346369,
13,193689550.0,-0.653132345033586,
11,1409529.0,0.9626414213542254,
13,25840818.0,-0.6582894550783958,
11,289820.0,-0.22489821268373472,
12,6322074.0,0.17667714740447518,
13,58237936.0,-0.31755823214613926,
11,2292836.0,-0.43947146677738835,
14,1366983412.0,-0.6564352164940536,
10,51894.0,-0.15040488517191022,
12,10447924.0,-0.18495323409065112,
12,7967064.0,0.7800645256521097,
12,11542424.0,-0.48125974232102375,
10,37916.0,1.078278299398671,
15,6448151452.0,1.7913190522870486,
14,111520712.0,0.2608958235489027,
10,96824.0,0.6842105263157895,
10,178184.0,0.8180332939233853,
10,240528.0,0.9956096587507484,
11,699859.0,0.3826785109572071,
11,170764.0,0.24129207561312688,
12,5532625.0,-0.41413885813696033,
