Matrix,Number of Ones,Time for Apprx,Time for Calc,Calc Perm,Actual Perm,Relative Error
"[[0 0 0]
 [2 2 0]
 [2 0 0]]",3,0.000171661376953125,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 0 2]]",4,0.000152587890625,1.6927719116210938e-05,1,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 2 0]]",4,0.00016355514526367188,1.7642974853515625e-05,1,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 2 2]]",5,0.0001552104949951172,1.6927719116210938e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 0 0]]",3,0.0003151893615722656,1.9550323486328125e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 0 2]]",4,0.00016617774963378906,2.09808349609375e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 2 0]]",4,0.0002186298370361328,2.002716064453125e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 2 2]]",5,0.00016927719116210938,1.7642974853515625e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 0 0]]",4,0.00016307830810546875,1.7881393432617188e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 0 2]]",5,0.0002434253692626953,2.1696090698242188e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 2 0]]",5,0.00018644332885742188,2.193450927734375e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 2 2]]",6,0.00016188621520996094,1.811981201171875e-05,2,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 0 0]]",1,0.0001666545867919922,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 0 2]]",2,0.00015974044799804688,1.7881393432617188e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 2 0]]",2,0.0001652240753173828,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 2 2]]",3,0.000156402587890625,1.6450881958007812e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [2 0 0]]",2,0.0002028942108154297,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [2 0 2]]",3,0.00023698806762695312,1.71661376953125e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [2 2 0]]",3,0.0002040863037109375,1.7404556274414062e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [2 2 2]]",4,0.0002980232238769531,2.0503997802734375e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [0 0 0]]",2,0.0001926422119140625,1.7642974853515625e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [0 0 2]]",3,0.0003037452697753906,2.0503997802734375e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [0 2 0]]",3,0.00019025802612304688,2.2172927856445312e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [0 2 2]]",4,0.00017833709716796875,1.7642974853515625e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [2 0 0]]",3,0.00015544891357421875,1.7404556274414062e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [2 0 2]]",4,0.00018072128295898438,2.288818359375e-05,0,0.0,inf
"[[0 0 2]
 [0 0 2]
 [2 2 0]]",4,0.00029850006103515625,2.8133392333984375e-05,1,0.0,inf
"[[0 0 2]
 [0 0 2]
 [2 2 2]]",5,0.00025844573974609375,2.384185791015625e-05,1,0.0,inf
"[[0 0 2]
 [0 2 0]
 [0 0 0]]",2,0.0003037452697753906,3.2901763916015625e-05,0,0.0,inf
"[[0 0 2]
 [0 2 0]
 [0 0 2]]",3,0.00024366378784179688,1.7642974853515625e-05,0,0.0,inf
"[[0 0 2]
 [0 2 0]
 [0 2 0]]",3,0.00016736984252929688,1.7404556274414062e-05,0,0.0,inf
"[[0 0 2]
 [0 2 0]
 [0 2 2]]",4,0.00018715858459472656,1.7642974853515625e-05,0,0.0,inf
"[[0 0 2]
 [0 2 0]
 [2 0 0]]",3,0.00015664100646972656,1.7642974853515625e-05,0,1.0,0.7319488334620041
"[[0 0 2]
 [0 2 0]
 [2 0 2]]",4,0.00017118453979492188,1.621246337890625e-05,1,1.0,0.4591774144590012
"[[0 0 2]
 [0 2 0]
 [2 2 0]]",4,0.000377655029296875,4.601478576660156e-05,1,1.0,0.4732510288065843
"[[0 0 2]
 [0 2 0]
 [2 2 2]]",5,0.0001690387725830078,1.6450881958007812e-05,1,1.0,0.051241058184559485
"[[0 0 2]
 [0 2 2]
 [0 0 0]]",3,0.00013208389282226562,1.7404556274414062e-05,0,0.0,inf
"[[0 0 2]
 [0 2 2]
 [0 0 2]]",4,0.00015592575073242188,1.71661376953125e-05,0,0.0,inf
"[[0 0 2]
 [0 2 2]
 [0 2 0]]",4,0.00015091896057128906,1.7642974853515625e-05,0,0.0,inf
"[[0 0 2]
 [0 2 2]
 [0 2 2]]",5,0.0002727508544921875,3.1948089599609375e-05,1,0.0,inf
"[[0 0 2]
 [0 2 2]
 [2 0 0]]",4,0.00015878677368164062,2.288818359375e-05,1,1.0,0.4732510288065843
"[[0 0 2]
 [0 2 2]
 [2 0 2]]",5,0.00018167495727539062,1.71661376953125e-05,1,1.0,0.051241058184559485
"[[0 0 2]
 [0 2 2]
 [2 2 0]]",5,0.0001595020294189453,1.7642974853515625e-05,1,1.0,0.0383459664444159
"[[0 0 2]
 [0 2 2]
 [2 2 2]]",6,0.00012731552124023438,1.71661376953125e-05,2,1.0,0.5811882872461427
"[[0 0 2]
 [2 0 0]
 [0 0 0]]",2,0.00017976760864257812,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [2 0 0]
 [0 0 2]]",3,0.0001366138458251953,1.7642974853515625e-05,0,0.0,inf
"[[0 0 2]
 [2 0 0]
 [0 2 0]]",3,0.00018024444580078125,1.6927719116210938e-05,0,1.0,0.6766685745292884
"[[0 0 2]
 [2 0 0]
 [0 2 2]]",4,0.00015020370483398438,1.71661376953125e-05,1,1.0,0.44472778301098437
"[[0 0 2]
 [2 0 0]
 [2 0 0]]",3,0.00019407272338867188,1.7881393432617188e-05,0,0.0,inf
"[[0 0 2]
 [2 0 0]
 [2 0 2]]",4,0.00018835067749023438,2.1457672119140625e-05,1,0.0,inf
"[[0 0 2]
 [2 0 0]
 [2 2 0]]",4,0.00014638900756835938,1.6450881958007812e-05,1,1.0,0.332173247695568
"[[0 0 2]
 [2 0 0]
 [2 2 2]]",5,0.0001735687255859375,1.71661376953125e-05,1,1.0,0.07132850792440104
"[[0 0 2]
 [2 0 2]
 [0 0 0]]",3,0.00014019012451171875,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [2 0 2]
 [0 0 2]]",4,0.00014495849609375,1.6689300537109375e-05,0,0.0,inf
"[[0 0 2]
 [2 0 2]
 [0 2 0]]",4,0.0001590251922607422,1.71661376953125e-05,1,1.0,0.4591774144590012
"[[0 0 2]
 [2 0 2]
 [0 2 2]]",5,0.000141143798828125,1.6927719116210938e-05,1,1.0,0.0639632359814506
"[[0 0 2]
 [2 0 2]
 [2 0 0]]",4,0.0001659393310546875,1.71661376953125e-05,1,0.0,inf
"[[0 0 2]
 [2 0 2]
 [2 0 2]]",5,0.00014138221740722656,1.71661376953125e-05,1,0.0,inf
"[[0 0 2]
 [2 0 2]
 [2 2 0]]",5,0.0002770423889160156,1.8358230590820312e-05,1,1.0,0.08588950838999998
"[[0 0 2]
 [2 0 2]
 [2 2 2]]",6,0.00015163421630859375,1.6927719116210938e-05,2,1.0,0.6963674061674452
"[[0 0 2]
 [2 2 0]
 [0 0 0]]",3,0.00018167495727539062,7.748603820800781e-05,0,0.0,inf
"[[0 0 2]
 [2 2 0]
 [0 0 2]]",4,0.0001723766326904297,1.7404556274414062e-05,1,0.0,inf
"[[0 0 2]
 [2 2 0]
 [0 2 0]]",4,0.0001590251922607422,1.71661376953125e-05,1,1.0,0.4591774144590012
"[[0 0 2]
 [2 2 0]
 [0 2 2]]",5,0.00018596649169921875,1.7642974853515625e-05,1,1.0,0.05696276004474243
"[[0 0 2]
 [2 2 0]
 [2 0 0]]",4,0.00013589859008789062,1.6927719116210938e-05,1,1.0,0.4732510288065843
"[[0 0 2]
 [2 2 0]
 [2 0 2]]",5,0.0001857280731201172,1.7404556274414062e-05,1,1.0,0.07132850792440104
"[[0 0 2]
 [2 2 0]
 [2 2 0]]",5,0.00013637542724609375,1.7642974853515625e-05,1,2.0,0.457055245805
"[[0 0 2]
 [2 2 0]
 [2 2 2]]",6,0.00014829635620117188,1.71661376953125e-05,2,2.0,0.09003171857568226
"[[0 0 2]
 [2 2 2]
 [0 0 0]]",4,0.00015401840209960938,1.8358230590820312e-05,0,0.0,inf
"[[0 0 2]
 [2 2 2]
 [0 0 2]]",5,0.00015926361083984375,1.8358230590820312e-05,1,0.0,inf
"[[0 0 2]
 [2 2 2]
 [0 2 0]]",5,0.00016307830810546875,2.002716064453125e-05,1,1.0,0.051241058184559485
"[[0 0 2]
 [2 2 2]
 [0 2 2]]",6,0.0001952648162841797,1.71661376953125e-05,2,1.0,0.6570710975280483
"[[0 0 2]
 [2 2 2]
 [2 0 0]]",5,0.00016570091247558594,1.6927719116210938e-05,1,1.0,0.0383459664444159
"[[0 0 2]
 [2 2 2]
 [2 0 2]]",6,0.0001659393310546875,1.7642974853515625e-05,2,1.0,0.6963674061674452
"[[0 0 2]
 [2 2 2]
 [2 2 0]]",6,0.00019693374633789062,1.811981201171875e-05,2,2.0,0.1317022000443897
"[[0 0 2]
 [2 2 2]
 [2 2 2]]",7,0.0001800060272216797,1.71661376953125e-05,3,2.0,0.35704616916803356
"[[0 2 0]
 [0 0 0]
 [0 0 0]]",1,0.0001304149627685547,1.6927719116210938e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [0 0 2]]",2,0.00016498565673828125,1.7404556274414062e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [0 2 0]]",2,0.0001652240753173828,1.7642974853515625e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [0 2 2]]",3,0.00016164779663085938,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [2 0 0]]",2,0.00016379356384277344,1.6689300537109375e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [2 0 2]]",3,0.000152587890625,2.1219253540039062e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [2 2 0]]",3,0.0001709461212158203,1.6450881958007812e-05,0,0.0,inf
"[[0 2 0]
 [0 0 0]
 [2 2 2]]",4,0.00015473365783691406,1.7642974853515625e-05,0,0.0,inf
"[[0 2 0]
 [0 0 2]
 [0 0 0]]",2,0.00019073486328125,1.9550323486328125e-05,0,0.0,inf
"[[0 2 0]
 [0 0 2]
 [0 0 2]]",3,0.0001583099365234375,1.7642974853515625e-05,0,0.0,inf
"[[0 2 0]
 [0 0 2]
 [0 2 0]]",3,0.0001671314239501953,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [0 0 2]
 [0 2 2]]",4,0.00019860267639160156,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [0 0 2]
 [2 0 0]]",3,0.00020003318786621094,1.7881393432617188e-05,0,1.0,0.6766685745292884
"[[0 2 0]
 [0 0 2]
 [2 0 2]]",4,0.00014781951904296875,2.1219253540039062e-05,1,1.0,0.44472778301098437
